Country,Uri,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release,USA,Popu_max,Top10_dummy,Top50_dummy,Cluster
USA,https://open.spotify.com/track/2KUL1Ix9grxAWvIAft9EWL,40.8,this is halloween - pop version,Marilyn Manson,compilation,alternative metal,2963832,FALSE,The Jack 2 Pack (The Nightmare Before Christmas),38718,3,40,0.482,0.949,5,-6.359,0,0.192,0.114,0.0000885,0.0942,0.327,168.181,202333,4,metal,5422,1,163,0,0,english speaking and nordic
USA,https://open.spotify.com/track/5yZikrIYMNhW4OGIO2xpLr,4,in the arms of a stranger - grey remix,Mike Posner - Grey,single,dance pop,1053870,FALSE,In The Arms Of A Stranger (Grey Remix),42783,1,1,0.756,0.83,0,-3.636,1,0.113,0.443,0,0.109,0.63,104.985,212627,4,pop,1362,1,196,0,0,english speaking and nordic
USA,https://open.spotify.com/track/7hZsWfJ06UxsIz9mo6NexI,48.8,even the losers,Tom Petty and the Heartbreakers,compilation,album rock,1575881,FALSE,Greatest Hits,34289,8,19,0.466,0.72,2,-8.29,1,0.0303,0.00846,0.00258,0.353,0.701,131.268,218187,4,rock,9851,1,140,0,0,english speaking and nordic
USA,https://open.spotify.com/track/2HsSzwrvvgiYSCdsYLiJWB,137.6,young grizzley world,Tee Grizzley - A Boogie Wit da Hoodie - YNW Melly,album,detroit hip hop,2107913,TRUE,Scriptures,43623,14,14,0.779,0.705,8,-6.383,0,0.051,0.237,0,0.0899,0.451,122.996,332195,4,hip hop,526,1,152,0,0,english speaking and nordic
USA,https://open.spotify.com/track/3calQ6T24KiVOWlRKr7rfl,206.55,bleed,A Boogie Wit da Hoodie,single,melodic rap,5184928,TRUE,Bleed,43998,1,1,0.698,0.572,2,-7.735,1,0.198,0.135,0,0.154,0.391,71.446,176959,4,rap,151,1,72,0,0,english speaking and nordic
USA,https://open.spotify.com/track/6o6XM9jgPHopOG6SMTyHoE,165.6,win,Jay Rock,album,conscious hip hop,933764,TRUE,Redemption,43266,13,13,0.879,0.595,1,-2.936,1,0.0889,0.0152,0,0.391,0.355,125.994,215227,4,hip hop,883,1,129,0,0,english speaking and nordic
USA,https://open.spotify.com/track/0wFmawqundY8rOn9sZUqA6,237.95,midsummer madness,88rising - Joji - Rich Brian - Higher Brothers - AUGUST 08,single,asian american hip hop,585672,TRUE,Midsummer Madness,43258,1,1,0.409,0.678,9,-7.731,1,0.0878,0.359,0.00000476,0.167,0.168,89.968,280842,4,hip hop,891,1,82,0,0,english speaking and nordic
USA,https://open.spotify.com/track/2yNCD3Hs8j30hVZoH6rD3n,88.4,everybody business,Kehlani,single,pop,4028947,TRUE,Everybody Business,43937,1,1,0.43,0.703,2,-3.684,1,0.229,0.521,0,0.132,0.435,45.78,165009,3,pop,212,1,97,0,0,english speaking and nordic
USA,https://open.spotify.com/track/6hp5Ytt1DmRaviuXkSTO7L,14.4,serious,Russ,album,hawaiian hip hop,3724826,TRUE,ZOO,43350,8,14,0.69,0.635,1,-7.624,1,0.34,0.132,0,0.362,0.569,144.065,188947,4,hip hop,799,1,183,0,0,english speaking and nordic
USA,https://open.spotify.com/track/1Tfxi7N3DW4zvAuVjt9g8X,897.55,moana,G-Eazy - Jack Harlow,single,hip hop,4646328,TRUE,Moana,43950,1,1,0.753,0.502,1,-6.879,1,0.264,0.0439,0.00000154,0.128,0.349,205.895,178217,4,hip hop,199,1,95,0,0,english speaking and nordic
