end,start,tweet_count,name,artist_id
2022-09-13T00:00:00.000Z,2022-09-12T00:00:00.000Z,127,Bryson Tiller,14EMAnMvWE2eb56ToJVfCWs
2022-09-14T00:00:00.000Z,2022-09-13T00:00:00.000Z,91,Bryson Tiller,15EMAnMvWE2eb56ToJVfCWs
2022-09-15T00:00:00.000Z,2022-09-14T00:00:00.000Z,106,Bryson Tiller,16EMAnMvWE2eb56ToJVfCWs
2022-09-16T00:00:00.000Z,2022-09-15T00:00:00.000Z,91,Bryson Tiller,17EMAnMvWE2eb56ToJVfCWs
2022-09-17T00:00:00.000Z,2022-09-16T00:00:00.000Z,145,Bryson Tiller,18EMAnMvWE2eb56ToJVfCWs
2022-09-18T00:00:00.000Z,2022-09-17T00:00:00.000Z,53,Bryson Tiller,19EMAnMvWE2eb56ToJVfCWs
2022-09-19T00:00:00.000Z,2022-09-18T00:00:00.000Z,47,Bryson Tiller,20EMAnMvWE2eb56ToJVfCWs
2022-09-20T00:00:00.000Z,2022-09-19T00:00:00.000Z,58,Bryson Tiller,21EMAnMvWE2eb56ToJVfCWs
2022-09-21T00:00:00.000Z,2022-09-20T00:00:00.000Z,75,Bryson Tiller,22EMAnMvWE2eb56ToJVfCWs
2022-09-22T00:00:00.000Z,2022-09-21T00:00:00.000Z,75,Bryson Tiller,23EMAnMvWE2eb56ToJVfCWs
2022-09-23T00:00:00.000Z,2022-09-22T00:00:00.000Z,63,Bryson Tiller,24EMAnMvWE2eb56ToJVfCWs
2022-09-24T00:00:00.000Z,2022-09-23T00:00:00.000Z,96,Bryson Tiller,25EMAnMvWE2eb56ToJVfCWs
2022-09-25T00:00:00.000Z,2022-09-24T00:00:00.000Z,59,Bryson Tiller,26EMAnMvWE2eb56ToJVfCWs
2022-09-26T00:00:00.000Z,2022-09-25T00:00:00.000Z,116,Bryson Tiller,27EMAnMvWE2eb56ToJVfCWs
2022-09-27T00:00:00.000Z,2022-09-26T00:00:00.000Z,34,Bryson Tiller,28EMAnMvWE2eb56ToJVfCWs
2022-09-28T00:00:00.000Z,2022-09-27T00:00:00.000Z,502,Bryson Tiller,29EMAnMvWE2eb56ToJVfCWs
2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,191,Bryson Tiller,30EMAnMvWE2eb56ToJVfCWs
2022-09-30T00:00:00.000Z,2022-09-29T00:00:00.000Z,77,Bryson Tiller,31EMAnMvWE2eb56ToJVfCWs
2022-10-01T00:00:00.000Z,2022-09-30T00:00:00.000Z,2180,Bryson Tiller,32EMAnMvWE2eb56ToJVfCWs
2022-09-01T00:00:00.000Z,2022-08-31T00:00:00.000Z,2639,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-02T00:00:00.000Z,2022-09-01T00:00:00.000Z,4254,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-03T00:00:00.000Z,2022-09-02T00:00:00.000Z,4637,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-04T00:00:00.000Z,2022-09-03T00:00:00.000Z,3256,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-05T00:00:00.000Z,2022-09-04T00:00:00.000Z,8114,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-06T00:00:00.000Z,2022-09-05T00:00:00.000Z,22309,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-07T00:00:00.000Z,2022-09-06T00:00:00.000Z,27558,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-08T00:00:00.000Z,2022-09-07T00:00:00.000Z,8148,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-09T00:00:00.000Z,2022-09-08T00:00:00.000Z,4271,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-10T00:00:00.000Z,2022-09-09T00:00:00.000Z,2471,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-11T00:00:00.000Z,2022-09-10T00:00:00.000Z,2005,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-12T00:00:00.000Z,2022-09-11T00:00:00.000Z,5895,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-13T00:00:00.000Z,2022-09-12T00:00:00.000Z,4117,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-14T00:00:00.000Z,2022-09-13T00:00:00.000Z,7119,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-15T00:00:00.000Z,2022-09-14T00:00:00.000Z,4777,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-16T00:00:00.000Z,2022-09-15T00:00:00.000Z,2520,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-17T00:00:00.000Z,2022-09-16T00:00:00.000Z,2344,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-18T00:00:00.000Z,2022-09-17T00:00:00.000Z,2324,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-19T00:00:00.000Z,2022-09-18T00:00:00.000Z,2912,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-20T00:00:00.000Z,2022-09-19T00:00:00.000Z,5694,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-21T00:00:00.000Z,2022-09-20T00:00:00.000Z,5782,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-22T00:00:00.000Z,2022-09-21T00:00:00.000Z,3641,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-23T00:00:00.000Z,2022-09-22T00:00:00.000Z,5607,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-24T00:00:00.000Z,2022-09-23T00:00:00.000Z,3860,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-25T00:00:00.000Z,2022-09-24T00:00:00.000Z,3510,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-26T00:00:00.000Z,2022-09-25T00:00:00.000Z,2562,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-27T00:00:00.000Z,2022-09-26T00:00:00.000Z,3596,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-28T00:00:00.000Z,2022-09-27T00:00:00.000Z,3789,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,3226,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-30T00:00:00.000Z,2022-09-29T00:00:00.000Z,2740,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-10-01T00:00:00.000Z,2022-09-30T00:00:00.000Z,4227,Harry Styles,6KImCVD70vtIoJWnq6nGn3
2022-09-01T00:00:00.000Z,2022-08-31T00:00:00.000Z,6352,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-02T00:00:00.000Z,2022-09-01T00:00:00.000Z,24428,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-03T00:00:00.000Z,2022-09-02T00:00:00.000Z,10549,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-04T00:00:00.000Z,2022-09-03T00:00:00.000Z,4543,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-05T00:00:00.000Z,2022-09-04T00:00:00.000Z,4242,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-06T00:00:00.000Z,2022-09-05T00:00:00.000Z,7568,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-07T00:00:00.000Z,2022-09-06T00:00:00.000Z,5056,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-08T00:00:00.000Z,2022-09-07T00:00:00.000Z,2232,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-09T00:00:00.000Z,2022-09-08T00:00:00.000Z,2880,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-10T00:00:00.000Z,2022-09-09T00:00:00.000Z,5621,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-11T00:00:00.000Z,2022-09-10T00:00:00.000Z,7086,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-12T00:00:00.000Z,2022-09-11T00:00:00.000Z,3937,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-13T00:00:00.000Z,2022-09-12T00:00:00.000Z,3511,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-14T00:00:00.000Z,2022-09-13T00:00:00.000Z,4418,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-15T00:00:00.000Z,2022-09-14T00:00:00.000Z,5642,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-16T00:00:00.000Z,2022-09-15T00:00:00.000Z,15480,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-17T00:00:00.000Z,2022-09-16T00:00:00.000Z,11798,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-18T00:00:00.000Z,2022-09-17T00:00:00.000Z,4374,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-19T00:00:00.000Z,2022-09-18T00:00:00.000Z,4712,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-20T00:00:00.000Z,2022-09-19T00:00:00.000Z,9470,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-21T00:00:00.000Z,2022-09-20T00:00:00.000Z,4303,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-22T00:00:00.000Z,2022-09-21T00:00:00.000Z,3895,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-23T00:00:00.000Z,2022-09-22T00:00:00.000Z,18936,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-24T00:00:00.000Z,2022-09-23T00:00:00.000Z,9504,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-25T00:00:00.000Z,2022-09-24T00:00:00.000Z,4072,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-26T00:00:00.000Z,2022-09-25T00:00:00.000Z,4765,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-27T00:00:00.000Z,2022-09-26T00:00:00.000Z,3713,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-28T00:00:00.000Z,2022-09-27T00:00:00.000Z,5001,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,6231,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-30T00:00:00.000Z,2022-09-29T00:00:00.000Z,5610,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-10-01T00:00:00.000Z,2022-09-30T00:00:00.000Z,7487,J.Cole,6l3HvQ5sa6mXTsMTB19rO5
2022-09-01T00:00:00.000Z,2022-08-31T00:00:00.000Z,2861,John Legend,5y2Xq6xcjJb2jVM54GHK3t
2022-09-02T00:00:00.000Z,2022-09-01T00:00:00.000Z,717,John Legend,6y2Xq6xcjJb2jVM54GHK3t
2022-09-03T00:00:00.000Z,2022-09-02T00:00:00.000Z,64462,John Legend,7y2Xq6xcjJb2jVM54GHK3t
2022-09-04T00:00:00.000Z,2022-09-03T00:00:00.000Z,37746,John Legend,8y2Xq6xcjJb2jVM54GHK3t
2022-09-05T00:00:00.000Z,2022-09-04T00:00:00.000Z,10358,John Legend,9y2Xq6xcjJb2jVM54GHK3t
2022-09-06T00:00:00.000Z,2022-09-05T00:00:00.000Z,4139,John Legend,10y2Xq6xcjJb2jVM54GHK3t
2022-09-07T00:00:00.000Z,2022-09-06T00:00:00.000Z,2499,John Legend,11y2Xq6xcjJb2jVM54GHK3t
2022-09-08T00:00:00.000Z,2022-09-07T00:00:00.000Z,1189,John Legend,12y2Xq6xcjJb2jVM54GHK3t
2022-09-09T00:00:00.000Z,2022-09-08T00:00:00.000Z,1345,John Legend,13y2Xq6xcjJb2jVM54GHK3t
2022-09-10T00:00:00.000Z,2022-09-09T00:00:00.000Z,3453,John Legend,14y2Xq6xcjJb2jVM54GHK3t
2022-09-11T00:00:00.000Z,2022-09-10T00:00:00.000Z,1687,John Legend,15y2Xq6xcjJb2jVM54GHK3t
2022-09-12T00:00:00.000Z,2022-09-11T00:00:00.000Z,643,John Legend,16y2Xq6xcjJb2jVM54GHK3t
2022-09-13T00:00:00.000Z,2022-09-12T00:00:00.000Z,802,John Legend,17y2Xq6xcjJb2jVM54GHK3t
2022-09-14T00:00:00.000Z,2022-09-13T00:00:00.000Z,1466,John Legend,18y2Xq6xcjJb2jVM54GHK3t
2022-09-15T00:00:00.000Z,2022-09-14T00:00:00.000Z,1646,John Legend,19y2Xq6xcjJb2jVM54GHK3t
2022-09-16T00:00:00.000Z,2022-09-15T00:00:00.000Z,1746,John Legend,20y2Xq6xcjJb2jVM54GHK3t
2022-09-17T00:00:00.000Z,2022-09-16T00:00:00.000Z,1090,John Legend,21y2Xq6xcjJb2jVM54GHK3t
2022-09-18T00:00:00.000Z,2022-09-17T00:00:00.000Z,710,John Legend,22y2Xq6xcjJb2jVM54GHK3t
